country,country_text_id,country_id,year,libdem,partipdem,delibdem,egaldem
South Africa,ZAF,8,1970,0.093,0.124,0.13,0.033
South Africa,ZAF,8,1971,0.093,0.124,0.13,0.033
South Africa,ZAF,8,1972,0.093,0.124,0.13,0.033
South Africa,ZAF,8,1973,0.093,0.124,0.13,0.033
South Africa,ZAF,8,1974,0.093,0.124,0.131,0.033
South Africa,ZAF,8,1975,0.093,0.123,0.131,0.033
South Africa,ZAF,8,1976,0.093,0.123,0.131,0.033
South Africa,ZAF,8,1977,0.093,0.132,0.13,0.033
South Africa,ZAF,8,1978,0.093,0.132,0.13,0.032
South Africa,ZAF,8,1979,0.093,0.132,0.13,0.032
South Africa,ZAF,8,1980,0.092,0.132,0.134,0.032
South Africa,ZAF,8,1981,0.096,0.136,0.138,0.035
South Africa,ZAF,8,1982,0.096,0.135,0.138,0.035
South Africa,ZAF,8,1983,0.096,0.145,0.138,0.035
South Africa,ZAF,8,1984,0.116,0.135,0.138,0.035
South Africa,ZAF,8,1985,0.116,0.136,0.141,0.036
South Africa,ZAF,8,1986,0.117,0.124,0.148,0.036
South Africa,ZAF,8,1987,0.116,0.124,0.147,0.036
South Africa,ZAF,8,1988,0.116,0.124,0.147,0.036
South Africa,ZAF,8,1989,0.119,0.125,0.153,0.037
South Africa,ZAF,8,1990,0.14,0.164,0.233,0.046
South Africa,ZAF,8,1991,0.149,0.174,0.246,0.052
South Africa,ZAF,8,1992,0.149,0.185,0.25,0.052
South Africa,ZAF,8,1993,0.16,0.199,0.268,0.055
South Africa,ZAF,8,1994,0.294,0.293,0.375,0.27
South Africa,ZAF,8,1995,0.516,0.452,0.585,0.433
South Africa,ZAF,8,1996,0.558,0.461,0.598,0.442
South Africa,ZAF,8,1997,0.558,0.459,0.598,0.439
South Africa,ZAF,8,1998,0.553,0.456,0.592,0.44
South Africa,ZAF,8,1999,0.591,0.484,0.619,0.472
South Africa,ZAF,8,2000,0.629,0.523,0.653,0.503
South Africa,ZAF,8,2001,0.629,0.521,0.653,0.503
South Africa,ZAF,8,2002,0.629,0.518,0.653,0.503
South Africa,ZAF,8,2003,0.627,0.516,0.653,0.501
South Africa,ZAF,8,2004,0.643,0.525,0.666,0.514
South Africa,ZAF,8,2005,0.651,0.533,0.679,0.529
